recipe,cell,selection,target_mean,target_std,target_count,composite_mean,composite_std,composite_count,shannon_mean,shannon_std,shannon_count,motif_corr_mean,motif_corr_std,motif_corr_count
argmax_K8_JURKAT,JURKAT,top128_map_dpp_archive,7.220744037628174,0.0727159729005207,5,6.026315331459045,0.1439719747965335,5,1.5666164515841192,0.0955866429310096,5,0.9255910132347988,0.0055115330972345,5
argmax_K8_JURKAT,JURKAT,top128_unique_archive_by_composite,7.4477152824401855,0.0828217174922273,5,6.283496761322022,0.1504391513406199,5,1.2328303044559363,0.1402856238149562,5,0.9123218766893306,0.013341546128053,5
argmax_K8_POP20k,K562,top128_by_target,5.626900672912598,0.0612817483359889,3,4.944509128729503,0.0160758317837382,3,1.3893982546664754,0.0775059736033739,3,0.942535658261994,0.0045095383275964,3
argmax_K8_POP20k,K562,top128_greedy_hamming_archive,5.848319053649902,0.063118097001541,3,4.958049376805623,0.0201162064400971,3,1.4203493576368984,0.0322331183538566,3,0.9385707475234528,0.0166314785317224,3
argmax_K8_POP20k,K562,top128_map_dpp_archive,5.524683952331543,0.0521191894637946,3,5.0873352487881975,0.0259130580696228,3,1.5565300368858053,0.0698067287355226,3,0.9462984402932364,0.003613771615747,3
argmax_K8_POP20k,K562,top128_unique_archive_by_composite,5.639097213745117,0.0832538127068781,3,5.256178140640259,0.0310250591826166,3,1.2346234373571086,0.1303314410720494,3,0.9235702434686036,0.0226343811466899,3
argmax_K8_biofilt_JK,JURKAT,top128_by_target,6.612741374969483,0.6195758942148948,5,5.963451385498047,0.3874426146878516,5,0.0,0.0,5,0.5998793217483718,0.1245714741481079,5
argmax_K8_biofilt_JK,JURKAT,top128_greedy_hamming_archive,5.742869663238525,0.0432844077342843,5,4.349535393714905,0.0861676516497663,5,1.824038601359943,0.011955164461609,5,0.9751104501333516,0.0262687724768083,5
argmax_K8_biofilt_JK,JURKAT,top128_map_dpp_archive,5.741070747375488,0.0449369691144851,5,4.341620397567749,0.1028942791376697,5,1.81954445374495,0.0180874869361311,5,0.9713082036650998,0.0347524411997931,5
argmax_K8_biofilt_JK,JURKAT,top128_unique_archive_by_composite,5.741070747375488,0.0449369691144851,5,4.341620397567749,0.1028942791376697,5,1.81954445374495,0.0180874869361311,5,0.9713082036650998,0.0347524411997931,5
argmax_K8_nodpsA,K562,top128_by_target,7.000384902954101,0.0235384710682507,5,4.747080993652344,0.0731091223517758,5,1.2860589880378797,0.1008980413922601,5,0.8221690273589433,0.0488854282432922,5
argmax_K8_nodpsA,K562,top128_greedy_hamming_archive,7.1315796852111815,0.0200471371027428,5,4.815353918075561,0.0850161585954559,5,1.2315572017242205,0.0884101168638609,5,0.8172165328696259,0.0647406043079438,5
argmax_K8_nodpsA,K562,top128_map_dpp_archive,6.524995136260986,0.1012907453797461,5,4.983166837692261,0.151327942747816,5,1.5559526126211742,0.076887960776564,5,0.8526548791741405,0.0427983959170441,5
argmax_K8_nodpsA,K562,top128_unique_archive_by_composite,6.662557697296142,0.103708292812102,5,5.193778777122498,0.1880017073588391,5,1.1951398831022906,0.0467959539003344,5,0.8276851441774802,0.060227315686133,5
argmax_K8_nodpsA,THP1,top128_by_target,4.529764556884766,0.0467463695714798,5,2.474065351486206,0.1044440056759696,5,1.4235760250887044,0.1194297107868705,5,0.82223086757779,0.0572908880303094,5
argmax_K8_nodpsA,THP1,top128_greedy_hamming_archive,4.654362773895263,0.0166703617178619,5,2.3902050971984865,0.1678085007915333,5,1.333397618731326,0.1224721210203186,5,0.7927112005412318,0.0807371355830467,5
argmax_K8_nodpsA,THP1,top128_map_dpp_archive,3.923298120498657,0.0480029898974558,5,2.9479338049888613,0.0701054797073612,5,1.5762422858800218,0.1079992132254516,5,0.8248868308477295,0.0614678646946737,5
argmax_K8_nodpsA,THP1,top128_unique_archive_by_composite,4.112798881530762,0.0562034772658543,5,3.1351988434791567,0.0573439488888204,5,1.2933968319467302,0.0516632811809763,5,0.8009011598299297,0.0561149735396213,5
argmax_K8_nodpsA_JK,JURKAT,top128_by_target,8.397793769836426,0.0931746054553246,5,6.341206502914429,0.0808671161472531,5,1.1973642743873718,0.1090761008997508,5,0.914695615701996,0.0164794370918285,5
argmax_K8_nodpsA_JK,JURKAT,top128_greedy_hamming_archive,8.559908485412597,0.0820624140543386,5,6.468099188804627,0.0905389688384728,5,1.1318774398260223,0.143969456480955,5,0.907891476299058,0.0178894883459174,5
argmax_K8_nodpsA_JK,JURKAT,top128_map_dpp_archive,8.21294708251953,0.0876914037939224,5,6.398105645179749,0.0483369881881194,5,1.4546027965148522,0.0420833132073428,5,0.9260255049319344,0.0093987377960228,5
argmax_K8_nodpsA_JK,JURKAT,top128_unique_archive_by_composite,8.426648902893067,0.0972630741083349,5,6.593372344970703,0.050102886148498,5,1.1346308067662425,0.1546242632253381,5,0.9060654205108746,0.0266662794515469,5
dps_recB_JURKAT,JURKAT,top128_by_target,6.346126556396484,0.588480553623199,5,5.9023596286773685,0.4498536895272899,5,0.1396256556881875,0.3122124575217675,5,0.5351569521304654,0.1920795103428517,5
dps_recB_JURKAT,JURKAT,top128_greedy_hamming_archive,5.853627872467041,0.0805198054010417,5,4.506039929389954,0.0486017507873487,5,1.8239819696673445,0.0160726293038417,5,0.9868947840440928,0.0032042343252357,5
dps_recB_JURKAT,JURKAT,top128_map_dpp_archive,5.8536279678344725,0.0805198987558688,5,4.506040120124817,0.0486017587889115,5,1.8239819696673445,0.0160726293038417,5,0.9868947857498503,0.003204234802194,5
dps_recB_JURKAT,JURKAT,top128_unique_archive_by_composite,5.8536279678344725,0.0805198987558688,5,4.506040120124817,0.0486017587889115,5,1.8239819696673445,0.0160726293038417,5,0.9868947857498503,0.003204234802194,5
kanneal_late_60,JURKAT,top128_by_target,8.344950358072916,0.1050416869511116,3,6.226761658986409,0.0614080013472433,3,1.185186037090966,0.091459291441138,3,0.9275950861368942,0.0037270566443973,3
kanneal_late_60,JURKAT,top128_greedy_hamming_archive,8.470945676167807,0.0995924221093035,3,6.320261319478353,0.0796431749364085,3,1.091747334934044,0.1231474879046516,3,0.9266059729561008,0.0009296994973831,3
kanneal_late_60,JURKAT,top128_map_dpp_archive,8.09115727742513,0.105924684064514,3,6.25178337097168,0.0425661818286775,3,1.4284396699864887,0.0200262065277958,3,0.9322839569935062,0.001187362846388,3
kanneal_late_60,JURKAT,top128_unique_archive_by_composite,8.296439488728842,0.1283775960090814,3,6.47148334980011,0.0271481110439409,3,1.130035883582983,0.069343596831314,3,0.920288465969134,0.0018114507685008,3
kanneal_late_60,K562,top128_by_target,6.9964470863342285,0.0350913907933681,3,4.717140833536784,0.0662364057336383,3,1.2919427340904628,0.1507629330494048,3,0.8142998825243194,0.0811357625500212,3
kanneal_late_60,K562,top128_greedy_hamming_archive,7.113341013590495,0.0358424564960235,3,4.755441029866536,0.0491863503354723,3,1.2266318889241865,0.1327474959492767,3,0.8185194760218216,0.0799891222339474,3
kanneal_late_60,K562,top128_map_dpp_archive,6.547381083170573,0.1333790914842476,3,4.907021522521973,0.1556562678474282,3,1.5577756227178632,0.099559284728232,3,0.8651998412525531,0.0526444625769207,3
kanneal_late_60,K562,top128_unique_archive_by_composite,6.681329727172852,0.1461508869553931,3,5.099962671597798,0.191354633185523,3,1.2293500961311137,0.0627478770949746,3,0.8493074447498096,0.0456406354315067,3
kanneal_late_60,THP1,top128_by_target,4.538229147593181,0.030329523329252,3,2.525134007136027,0.0588213562007285,3,1.3746181743777786,0.0533229387290962,3,0.7941544523090928,0.0598749460335874,3
kanneal_late_60,THP1,top128_greedy_hamming_archive,4.654706001281738,0.0128467374545589,3,2.46746826171875,0.1092675488432304,3,1.296887230726382,0.1505814943565057,3,0.7602177916774261,0.0941402835253238,3
kanneal_late_60,THP1,top128_map_dpp_archive,3.9374879201253257,0.0152385624742291,3,2.9758816361427307,0.0342580524173537,3,1.5378401433911515,0.1014676433982292,3,0.8113075152134647,0.0793445704149166,3
kanneal_late_60,THP1,top128_unique_archive_by_composite,4.119640668233235,0.0411983810221604,3,3.162266731262207,0.0353188154197713,3,1.2702368873701324,0.0434591728815282,3,0.7870158857313446,0.0740774097366968,3
kanneal_late_80,JURKAT,top128_by_target,8.437447865804037,0.0614693995006645,3,6.307937065760295,0.0661745684879099,3,1.1343925488604836,0.0455356575253712,3,0.9113278336370366,0.019265251979172,3
kanneal_late_80,JURKAT,top128_greedy_hamming_archive,8.58589235941569,0.0584903785052349,3,6.42464550336202,0.0751956797147312,3,1.043527936663236,0.0218395589553141,3,0.9059395200825336,0.0232799066415677,3
kanneal_late_80,JURKAT,top128_map_dpp_archive,8.213325182596842,0.0554870152792998,3,6.361913124720256,0.0292763557822028,3,1.428405159884884,0.0284261370598975,3,0.930159826009207,0.0013884496704228,3
